y, u
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00115, 0.77618
0.00115, 0.77618
0.00230, 0.77618
0.00230, 0.77618
0.00460, 0.77618
0.00460, 0.77618
0.00575, 0.77618
0.00690, 0.77618
0.01035, 0.77618
0.01150, 0.77618
0.01381, 0.77618
0.01611, 0.77618
0.01956, 0.77618
0.02301, 0.77618
0.02531, 0.77618
0.02876, 0.77618
0.03336, 0.77618
0.03682, 0.77618
0.04142, 0.77618
0.04602, 0.77618
0.05062, 0.77618
0.05522, 0.77618
0.05983, 0.77618
0.06558, 0.77618
0.07018, 0.77618
0.07593, 0.77618
0.08053, 0.77618
0.08514, 0.77618
0.08974, 0.77618
0.09664, 0.77618
0.10124, 0.77618
0.10584, 0.77618
0.11045, 0.77618
0.11505, 0.77618
0.11965, 0.77618
0.12195, 0.77618
0.12655, 0.77618
0.13116, 0.77618
0.13346, 0.77618
0.13576, 0.77618
0.13921, 0.77618
0.14036, 0.77618
0.14381, 0.77618
0.14381, 0.77618
0.14496, 0.77618
0.14496, 0.77618
0.14496, 0.77618
0.14496, 0.77618
0.14496, 0.77618
0.14381, 0.77618
0.14381, 0.77618
0.14266, 0.77618
0.14036, 0.77618
0.13806, 0.77618
0.13576, 0.77618
0.13346, 0.77618
0.13000, 0.77618
0.12655, 0.77618
0.12425, 0.77618
0.12080, 0.77618
0.11735, 0.77618
0.11505, 0.77618
0.11045, 0.77618
0.10700, 0.77618
0.10239, 0.77618
0.10124, 0.77618
0.09664, 0.77618
0.09319, 0.77618
0.08974, 0.77618
0.08859, 0.77618
0.08514, 0.77618
0.08399, 0.77618
0.08053, 0.77618
0.07938, 0.77618
0.07823, 0.77618
0.07593, 0.77618
0.07593, 0.77618
0.07478, 0.77618
0.07478, 0.77618
0.07478, 0.77618
0.07478, 0.77618
0.07593, 0.77618
0.07823, 0.77618
0.07823, 0.77618
0.07938, 0.77618
0.08053, 0.77618
0.08399, 0.77618
0.08514, 0.77618
0.08859, 0.77618
0.08974, 0.77618
0.09319, 0.77618
0.09664, 0.77618
0.10124, 0.77618
0.10354, 0.77618
0.10700, 0.77618
0.11045, 0.77618
0.11275, 0.77618
0.11620, 0.77618
0.11965, 0.77618
0.12195, 0.77618
0.12540, 0.77618
0.12885, 0.77618
0.13116, 0.77618
0.13461, 0.77618
0.13806, 0.77618
0.13921, 0.77618
0.14266, 0.77618
0.14381, 0.77618
0.14496, 0.77618
0.14726, 0.77618
0.14726, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14726, 0.77618
0.14496, 0.77618
0.14381, 0.77618
0.14266, 0.77618
0.14036, 0.77618
0.13921, 0.77618
0.13576, 0.77618
0.13461, 0.77618
0.13116, 0.77618
0.12885, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12080, 0.77618
0.11735, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11045, 0.77618
0.10700, 0.77618
0.10584, 0.77618
0.10239, 0.77618
0.10124, 0.77618
0.09894, 0.77618
0.09664, 0.77618
0.09434, 0.77618
0.09319, 0.77618
0.09204, 0.77618
0.09204, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.09204, 0.77618
0.09319, 0.77618
0.09319, 0.77618
0.09434, 0.77618
0.09664, 0.77618
0.09779, 0.77618
0.09894, 0.77618
0.10124, 0.77618
0.10354, 0.77618
0.10584, 0.77618
0.10815, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12540, 0.77618
0.12655, 0.77618
0.13000, 0.77618
0.13116, 0.77618
0.13346, 0.77618
0.13461, 0.77618
0.13576, 0.77618
0.13921, 0.77618
0.13921, 0.77618
0.14036, 0.77618
0.14266, 0.77618
0.14266, 0.77618
0.14266, 0.77618
0.14381, 0.77618
0.14381, 0.77618
0.14266, 0.77618
0.14266, 0.77618
0.14036, 0.77618
0.14036, 0.77618
0.13921, 0.77618
0.13806, 0.77618
0.13576, 0.77618
0.13461, 0.77618
0.13346, 0.77618
0.13116, 0.77618
0.13000, 0.77618
0.12655, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.10700, 0.77618
0.10584, 0.77618
0.10354, 0.77618
0.10239, 0.77618
0.10124, 0.77618
0.10124, 0.77618
0.09894, 0.77618
0.09894, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09894, 0.77618
0.09894, 0.77618
0.10124, 0.77618
0.10124, 0.77618
0.10239, 0.77618
0.10354, 0.77618
0.10584, 0.77618
0.10700, 0.77618
0.10815, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12425, 0.77618
0.12540, 0.77618
0.12655, 0.77618
0.12885, 0.77618
0.13000, 0.77618
0.13116, 0.77618
0.13116, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13116, 0.77618
0.13000, 0.77618
0.12885, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10700, 0.77618
0.10584, 0.77618
0.10584, 0.77618
0.10354, 0.77618
0.10354, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10354, 0.77618
0.10354, 0.77618
0.10354, 0.77618
0.10584, 0.77618
0.10584, 0.77618
0.10700, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12425, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.13000, 0.77618
0.13000, 0.77618
0.13000, 0.77618
0.13000, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
